"name","latitude","longitude","country","notes","reef_type","reef_zone","exposure"
"MATAO6",-4.81514,122.15236,"Indonesia",NA,NA,NA,NA
"MATAO7",-4.865491777,122.0504294,"Indonesia",NA,NA,NA,NA
"MAWAS1",-5.22353,122.26439,"Indonesia",NA,NA,NA,NA
"MAWAS2",-5.27672,122.26852,"Indonesia",NA,NA,NA,NA
"MAWAS3",-5.28481,122.25244,"Indonesia",NA,NA,NA,NA
"MAWAS4",-5.35652,122.25968,"Indonesia",NA,NA,NA,NA
"MAWAS5",-5.36989,122.26509,"Indonesia",NA,NA,NA,NA
"MAWAS6",-5.39834,122.27374,"Indonesia",NA,NA,NA,NA
"MAWAS7",-5.39842,122.3273,"Indonesia",NA,NA,NA,NA
"MAWAS8",-5.31316,122.26286,"Indonesia",NA,NA,NA,NA
"MORAM1",-4.07863,122.76952,"Indonesia",NA,NA,NA,NA
"MORAM2",-4.10858,122.80081,"Indonesia",NA,NA,NA,NA
"MORAM3",-4.11564,122.82211,"Indonesia",NA,NA,NA,NA
"MORAM4",-4.15066,122.78184,"Indonesia",NA,NA,NA,NA
"MORAM5",-4.15096,122.76029,"Indonesia",NA,NA,NA,NA
"MORAM6",-4.12624,122.72997,"Indonesia",NA,NA,NA,NA
"MORAM7",-4.14972,122.80367,"Indonesia",NA,NA,NA,NA
"NTZ1",-4.38772,122.74915,"Indonesia",NA,NA,NA,NA
"NTZ2",-4.41088,122.77388,"Indonesia",NA,NA,NA,NA
"NTZ3",-4.4373,122.84434,"Indonesia",NA,NA,NA,NA
"PASIK1",-4.96714,122.7837,"Indonesia",NA,NA,NA,NA
"PASIK2",-4.9673,122.75213,"Indonesia",NA,NA,NA,NA
"PASIK3",-5.09188,122.61497,"Indonesia",NA,NA,NA,NA
"PASIK4",-5.1229,122.61387,"Indonesia",NA,NA,NA,NA
"PASIK5",-5.18488,122.61737,"Indonesia",NA,NA,NA,NA
"PASIK6",-5.05122,122.73442,"Indonesia",NA,NA,NA,NA
"PASIK7",-5.101097222,122.7026667,"Indonesia",NA,NA,NA,NA
"PASIK8",-5.09813,122.72398,"Indonesia",NA,NA,NA,NA
"SAGOR1",-5.34738,121.78023,"Indonesia",NA,NA,NA,NA
"SAGOR2",-5.33695,121.75924,"Indonesia",NA,NA,NA,NA
"SAGOR3",-5.35974,121.73766,"Indonesia",NA,NA,NA,NA
"SAGOR4",-5.30793,121.76372,"Indonesia",NA,NA,NA,NA
"SAGOR5",-5.28003,121.75574,"Indonesia",NA,NA,NA,NA
"SAGOR6",-5.23678,121.76996,"Indonesia",NA,NA,NA,NA
"SAGOR7",-5.12458,121.81958,"Indonesia",NA,NA,NA,NA
"SIOMP1",-5.68043,122.45918,"Indonesia",NA,NA,NA,NA
"SIOMP2",-5.66852,122.48435,"Indonesia",NA,NA,NA,NA
"SIOMP3",-5.633702778,122.4851917,"Indonesia",NA,NA,NA,NA
"SIOMP4",-5.68715,122.54721,"Indonesia",NA,NA,NA,NA
"SIOMP5",-5.6276,122.54023,"Indonesia",NA,NA,NA,NA
"SIOMP6",-5.62037,122.51912,"Indonesia",NA,NA,NA,NA
"SIOMP7",-5.65373,122.4927,"Indonesia",NA,NA,NA,NA
"SIONT1",-5.31553,123.20327,"Indonesia",NA,NA,NA,NA
"SIONT2",-5.33657,123.19466,"Indonesia",NA,NA,NA,NA
"SIONT3",-5.36695,123.16908,"Indonesia",NA,NA,NA,NA
"SIONT4",-5.38184,123.15185,"Indonesia",NA,NA,NA,NA
"SIONT5",-5.40467,123.11939,"Indonesia",NA,NA,NA,NA
"SIONT6",-5.417,123.08949,"Indonesia",NA,NA,NA,NA
"SIONT7",-5.301791667,123.201475,"Indonesia",NA,NA,NA,NA
"TALRAY1",-5.47597,121.9236,"Indonesia",NA,NA,NA,NA
"TALRAY2",-5.4931,121.93444,"Indonesia",NA,NA,NA,NA
"TALRAY3",-5.52145,121.99358,"Indonesia",NA,NA,NA,NA
"TALRAY4",-5.48832,122.05472,"Indonesia",NA,NA,NA,NA
"TALRAY5",-5.49253,122.07934,"Indonesia",NA,NA,NA,NA
"TALRAY6",-5.48829,122.07141,"Indonesia",NA,NA,NA,NA
"TALRAY7",-5.44763,122.04902,"Indonesia",NA,NA,NA,NA
"TIWOR1",-4.5773,122.30295,"Indonesia",NA,NA,NA,NA
"TIWOR2",-4.58446,122.33176,"Indonesia",NA,NA,NA,NA
"TIWOR3",-4.5773,122.30295,"Indonesia",NA,NA,NA,NA
"TIWOR4",-4.6448,122.33294,"Indonesia",NA,NA,NA,NA
"TIWOR5",-4.63637,122.36356,"Indonesia",NA,NA,NA,NA
"TIWOR6",-4.6591,122.29202,"Indonesia",NA,NA,NA,NA
"TIWOR7",-4.69816,122.39209,"Indonesia",NA,NA,NA,NA
"UZ1",-4.39601,122.75924,"Indonesia",NA,NA,NA,NA
"UZ2",-4.42498,122.7985,"Indonesia",NA,NA,NA,NA
"UZ3",-4.4373,122.84434,"Indonesia",NA,NA,NA,NA
"WABUL1",-5.61543,122.86898,"Indonesia",NA,NA,NA,NA
"WABUL2",-5.61752,122.86648,"Indonesia",NA,NA,NA,NA
"WABUL3",-5.62136,122.86177,"Indonesia",NA,NA,NA,NA
"WABUL4",-5.617447222,122.8514306,"Indonesia",NA,NA,NA,NA
"WABUL5",-5.68715,122.54721,"Indonesia",NA,NA,NA,NA
"WABUL6",-5.6276,122.54023,"Indonesia",NA,NA,NA,NA
"WABUL7",-5.58892,122.88592,"Indonesia",NA,NA,NA,NA
"WABUL8",-5.59789,122.87903,"Indonesia",NA,NA,NA,NA
"WABUL9",-5.62037,122.51912,"Indonesia",NA,NA,NA,NA
"WAWON1",-4.01485,123.07786,"Indonesia",NA,NA,NA,NA
"WAWON2",-4.008,123.13557,"Indonesia",NA,NA,NA,NA
"WAWON3",-4.01045,123.15167,"Indonesia",NA,NA,NA,NA
"WAWON4",-4.00761,123.17924,"Indonesia",NA,NA,NA,NA
"WAWON5",-4.01655,123.2126,"Indonesia",NA,NA,NA,NA
"WAWON6",-4.02478,123.22365,"Indonesia",NA,NA,NA,NA
"WAWON7",-3.99474,122.9681,"Indonesia",NA,NA,NA,NA
"WAWON8",-3.98542,123.03827,"Indonesia",NA,NA,NA,NA
