"name","latitude","longitude","country","notes","reef_type","reef_zone","exposure"
"Burgos Inside Station 1",10.02055,126.07485,"Philippines",NA,NA,NA,NA
"Burgos Inside Station 2",10.0238,126.07485,"Philippines",NA,NA,NA,NA
"Burgos Marine Protected Area",9.24537926666667,126.196952133333,"Philippines",NA,NA,NA,NA
"Burgos Marine Protected Area",9.24537926666667,126.196952133333,"Philippines",NA,NA,NA,NA
"Burgos Outside Station 3",10.0268,126.07419,"Philippines",NA,NA,NA,NA
"Burgos Outside Station 4",10.03171,126.07484,"Philippines",NA,NA,NA,NA
"Cabulotan Marine Reserve",9.93088083802584,123.179534975157,"Philippines",NA,NA,NA,NA
"Cabulotan Marine Reserve",9.93088083802584,123.179534975157,"Philippines",NA,NA,NA,NA
"Calmante  Proposed Station1",10.63869,124.49599,"Philippines",NA,NA,NA,NA
"Calmante  Proposed Station2",10.63937,124.49796,"Philippines",NA,NA,NA,NA
"Caringo Fish Sanctuary",14.0337194763092,123.096745885287,"Philippines",NA,NA,NA,NA
"Caringo Fish Sanctuary",14.0337194763092,123.096745885287,"Philippines",NA,NA,NA,NA
"Caub",9.90029736780258,125.88430799765,"Philippines",NA,NA,NA,NA
"Caub",9.90029736780258,125.88430799765,"Philippines",NA,NA,NA,NA
"Caub Fish Sanctuary",9.89990797802952,125.884627123241,"Philippines",NA,NA,NA,NA
"Caub Fish Sanctuary",9.89990797802952,125.884627123241,"Philippines",NA,NA,NA,NA
"Cloud 9 Outside Station 1",9.82509,126.15352,"Philippines",NA,NA,NA,NA
"Cloud 9 Outside Station 2",9.81476,126.16052,"Philippines",NA,NA,NA,NA
"Cloud 9 Proposed Marine Protected Area",9.82223169902913,126.155456893204,"Philippines",NA,NA,NA,NA
"Cloud 9 Proposed Marine Protected Area.",9.81476,126.16052,"Philippines",NA,NA,NA,NA
"Corregidor",9.69438544661191,126.076664240246,"Philippines",NA,NA,NA,NA
"Corregidor",9.69438544661191,126.076664240246,"Philippines",NA,NA,NA,NA
"Corregidor Fish Sanctuary",9.69398926771654,126.07589480315,"Philippines",NA,NA,NA,NA
"Corregidor Fish Sanctuary",9.69398926771654,126.07589480315,"Philippines",NA,NA,NA,NA
"DC1",9.90821,125.88614,"Philippines",NA,NA,NA,NA
"DC2",9.90209,125.88267,"Philippines",NA,NA,NA,NA
"DC3",9.90139,125.88167,"Philippines",NA,NA,NA,NA
"DC4",9.89979,125.8814,"Philippines",NA,NA,NA,NA
"DC5",9.89598,125.88514,"Philippines",NA,NA,NA,NA
"DC6",9.89254,125.88883,"Philippines",NA,NA,NA,NA
"Daku Is.  Outside Station 1",9.7457,126.15482,"Philippines",NA,NA,NA,NA
"Daku Is.  Outside Station 2",9.74654,126.16176,"Philippines",NA,NA,NA,NA
"Dapa1",9.69298,126.0726,"Philippines",NA,NA,NA,NA
"Dapa2",9.68804,126.06481,"Philippines",NA,NA,NA,NA
"Dapa3",9.68907,126.07477,"Philippines",NA,NA,NA,NA
"Dapa4",9.6966,126.08943,"Philippines",NA,NA,NA,NA
"Dapa5",9.69864,126.08733,"Philippines",NA,NA,NA,NA
"Dapa6",9.69868,126.07593,"Philippines",NA,NA,NA,NA
"Dapdap Inside Station1",10.79075,124.52159,"Philippines",NA,NA,NA,NA
"Dapdap Inside Station2",10.7936,124.52338,"Philippines",NA,NA,NA,NA
"Dungon Outside Station 1",11.72114,122.02711,"Philippines",NA,NA,NA,NA
"Ermita Marine Protected Area",10.43136352657,123.433651483782,"Philippines",NA,NA,NA,NA
"Ermita Marine Protected Area",10.43136352657,123.433651483782,"Philippines",NA,NA,NA,NA
"Gen Luna Marine Protected Area",9.74278787878788,126.141198787879,"Philippines",NA,NA,NA,NA
"Gen Luna Marine Protected Area",9.74278787878788,126.141198787879,"Philippines",NA,NA,NA,NA
"Gen. Island",9.402795232,126.023107712,"Philippines",NA,NA,NA,NA
"Hambongan Marine Protected Area",10.0680756301824,124.018411713654,"Philippines",NA,NA,NA,NA
