"name","latitude","longitude","management","country","notes","reef_type","reef_zone","exposure"
"SAGOR3",-5.35974,121.73766,"Managed Access","Indonesia",NA,NA,NA,NA
"SAGOR5",-5.28003,121.75574,"Managed Access","Indonesia",NA,NA,NA,NA
"SIOMP3",-5.63555,122.49448,"Managed Access","Indonesia",NA,NA,NA,NA
"SIOMP5",-5.6276,122.54023,"Reserve","Indonesia",NA,NA,NA,NA
"SIOMP6",-5.62037,122.51912,"Reserve","Indonesia",NA,NA,NA,NA
"SIONT1",-5.31553,123.20327,"Reserve","Indonesia",NA,NA,NA,NA
"SIONT2",-5.34145,123.19197,"Managed Access","Indonesia",NA,NA,NA,NA
"SIONT3",-5.37243,123.16828,"Managed Access","Indonesia",NA,NA,NA,NA
"SIONT4",-5.38184,123.15185,"Reserve","Indonesia",NA,NA,NA,NA
"SIONT5",-5.40484,123.12654,"Reserve","Indonesia",NA,NA,NA,NA
"TALRAY6",-5.48829,122.07141,"Managed Access","Indonesia",NA,NA,NA,NA
"TIWOR3",-4.63096,122.33135,"Managed Access","Indonesia",NA,NA,NA,NA
"TIWOR4",-4.6448,122.33294,"Managed Access","Indonesia",NA,NA,NA,NA
"TIWOR5",-4.63637,122.36356,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL1",-5.61358,122.86928,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL2",-5.61752,122.86648,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL3",-5.62136,122.86177,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL4",-5.62135,122.85468,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL5",-5.62727,122.85188,"Managed Access","Indonesia",NA,NA,NA,NA
"WABUL6",-5.63168,122.84775,"Managed Access","Indonesia",NA,NA,NA,NA
"WAWON2",-4.008,123.13557,"Reserve","Indonesia",NA,NA,NA,NA
"WAWON3",-4.01045,123.15167,"Reserve","Indonesia",NA,NA,NA,NA
"WAWON5",-4.01655,123.2126,"Reserve","Indonesia",NA,NA,NA,NA
"NTZ2",-4.41088,122.77388,"Reserve","Indonesia",NA,NA,NA,NA
"WAWON2",-4.008,123.13557,"Managed Access","Indonesia",NA,NA,NA,NA
"UZ2",-4.42498,122.7985,"Managed Access","Indonesia",NA,NA,NA,NA
"MAGIN7",-4.88772,122.28965,"Reserve","Indonesia",NA,NA,NA,NA
"MORAM2",-4.10858,122.80081,"Managed Access","Indonesia",NA,NA,NA,NA
"TIWOR7",-4.69816,122.39209,"Reserve","Indonesia",NA,NA,NA,NA
"MAGIN4",-4.8431,122.21632,"Reserve","Indonesia",NA,NA,NA,NA
"SAGOR7",-5.12458,121.81958,"Reserve","Indonesia",NA,NA,NA,NA
"WABUL9",-5.61543,122.86898,"Managed Access","Indonesia",NA,NA,NA,NA
"MORAM3",-4.11564,122.82211,"Managed Access","Indonesia",NA,NA,NA,NA
"MATAO4",-4.84567,122.11833,"Reserve","Indonesia",NA,NA,NA,NA
"MORAM5",-4.15096,122.76029,"Reserve","Indonesia",NA,NA,NA,NA
"TIWOR4",-4.6448,122.33294,"Reserve","Indonesia",NA,NA,NA,NA
"UZ1",-4.39601,122.75924,"Managed Access","Indonesia",NA,NA,NA,NA
"NTZ1",-4.38772,122.74915,"Reserve","Indonesia",NA,NA,NA,NA
"WAWON7",-3.99474,122.9681,"Managed Access","Indonesia",NA,NA,NA,NA
"MATAO2",-4.88977,122.05219,"Reserve","Indonesia",NA,NA,NA,NA
"SAGOR3",-5.35974,121.73766,"Reserve","Indonesia",NA,NA,NA,NA
