"site_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
"Talaga Raya","talray1",-5.47597,121.9236,"Indonesia",NA,NA,NA
"Talaga Raya","talray2",-5.4931,121.93444,"Indonesia",NA,NA,NA
"Talaga Raya","talray5",-5.49253,122.07934,"Indonesia",NA,NA,NA
"Talaga Raya","talray3",-5.52145,121.99358,"Indonesia",NA,NA,NA
"Talaga Raya","talray4",-5.48832,122.05472,"Indonesia",NA,NA,NA
"Talaga Raya","talray6",-5.48829,122.07141,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol1",-3.68464,122.42371,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol2",-3.68794,122.42447,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol3",-3.7483,122.36671,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol4",-3.73534,122.35133,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol5",-3.72622,122.39161,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol6",-3.74365,122.43586,"Indonesia",NA,NA,NA
"Teluk Moramo","moram4",-4.15066,122.78184,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor5",-4.63637,122.36356,"Indonesia",NA,NA,NA
"Wabula","wabul1",-5.61358,122.86928,"Indonesia",NA,NA,NA
"Wabula","wabul2",-5.61752,122.86648,"Indonesia",NA,NA,NA
"Wabula","wabul3",-5.62136,122.86177,"Indonesia",NA,NA,NA
"Wabula","wabul4",-5.62135,122.85468,"Indonesia",NA,NA,NA
"Wabula","wabul5",-5.62727,122.85188,"Indonesia",NA,NA,NA
"Wabula","wabul6",-5.63168,122.84775,"Indonesia",NA,NA,NA
"Wawonii","wawon1",-4.01485,123.07786,"Indonesia",NA,NA,NA
"Wawonii","wawon3",-4.01045,123.15167,"Indonesia",NA,NA,NA
"Wawonii","wawon5",-4.01655,123.2126,"Indonesia",NA,NA,NA
NA,"magin1",-4.77327,122.26115,"Indonesia",NA,NA,NA
NA,"tiwor1",-4.5773,122.30295,"Indonesia",NA,NA,NA
NA,"tiwor2",-4.58446,122.33176,"Indonesia",NA,NA,NA
NA,"moram6",-4.12624,122.72997,"Indonesia",NA,NA,NA
NA,"wawon6",-4.02478,123.22365,"Indonesia",NA,NA,NA
NA,"wawon4",-4.00761,123.17924,"Indonesia",NA,NA,NA
NA,"magin6",-4.93512,122.32075,"Indonesia",NA,NA,NA
NA,"tiwor6",-4.6591,122.29202,"Indonesia",NA,NA,NA
NA,"pasik3",-5.09188,122.61497,"Indonesia",NA,NA,NA
NA,"pasik4",-5.1229,122.61387,"Indonesia",NA,NA,NA
NA,"pasik5",-5.18488,122.61737,"Indonesia",NA,NA,NA
NA,"magin5",-4.86419,122.25579,"Indonesia",NA,NA,NA
NA,"moram1",-4.07863,122.76952,"Indonesia",NA,NA,NA
NA,"moram2",-4.10858,122.80081,"Indonesia",NA,NA,NA
NA,"moram3",-4.11564,122.82211,"Indonesia",NA,NA,NA
NA,"moram5",-4.15096,122.76029,"Indonesia",NA,NA,NA
NA,"pasik1",-4.96714,122.7837,"Indonesia",NA,NA,NA
NA,"pasik2",-4.9673,122.75213,"Indonesia",NA,NA,NA
NA,"pasik6",-5.05122,122.73442,"Indonesia",NA,NA,NA
NA,"tiwor3",-4.63096,122.33135,"Indonesia",NA,NA,NA
NA,"tiwor4",-4.6448,122.33294,"Indonesia",NA,NA,NA
NA,"wawon2",-4.008,123.13557,"Indonesia",NA,NA,NA
NA,"ntz2",-4.41088,122.77388,"Indonesia",NA,NA,NA
NA,"uz2",-4.42498,122.7985,"Indonesia",NA,NA,NA
NA,"magin7",-4.88772,122.28965,"Indonesia",NA,NA,NA
NA,"tiwor7",-4.69816,122.39209,"Indonesia",NA,NA,NA
NA,"sagor7",-5.12458,121.81958,"Indonesia",NA,NA,NA
NA,"wabul9",-5.61543,122.86898,"Indonesia",NA,NA,NA
NA,"uz1",-4.39601,122.75924,"Indonesia",NA,NA,NA
NA,"ntz1",-4.38772,122.74915,"Indonesia",NA,NA,NA
NA,"wawon7",-3.99474,122.9681,"Indonesia",NA,NA,NA
NA,"moram7",-4.14972,122.80367,"Indonesia",NA,NA,NA
NA,"ntz3",-4.4373,122.84434,"Indonesia",NA,NA,NA
NA,"wawon8",-3.98542,123.03827,"Indonesia",NA,NA,NA
NA,"kulis9",-4.79436,123.14523,"Indonesia",NA,NA,NA
NA,"talray7",-5.44763,122.04902,"Indonesia",NA,NA,NA
NA,"wabul8",-5.59789,122.87903,"Indonesia",NA,NA,NA
NA,"kapun6",-5.28555,122.68118,"Indonesia",NA,NA,NA
NA,"uz3",-4.42284,122.86157,"Indonesia",NA,NA,NA
NA,"wabul7",-5.58892,122.88592,"Indonesia",NA,NA,NA
NA,"kulis8",-4.8075,123.167,"Indonesia",NA,NA,NA
NA,"pasik8",-5.09813,122.72398,"Indonesia",NA,NA,NA
NA,"siont7",-5.33657,123.19466,"Indonesia",NA,NA,NA
NA,"mawas10",-5.36989,122.26509,"Indonesia",NA,NA,NA
NA,"mawas8",-5.31316,122.26286,"Indonesia",NA,NA,NA
NA,"mawas9",-5.35652,122.25968,"Indonesia",NA,NA,NA
NA,"siont8",-5.36695,123.16908,"Indonesia",NA,NA,NA
NA,"kapun7",-5.23989,122.73993,"Indonesia",NA,NA,NA
